nombre de noeuds;taille du travail;taille des morceaux;temps du travail
39;10000000;10000;0m0.488s
39;100000000;10000;0m1.387s
47;1000;10000;0m0.207s
47;10000;10000;0m0.302s
47;100000;10000;0m0.285s
47;1000000;10000;0m0.515s
47;10000000;10000;0m0.505s
47;100000000;10000;0m1.405s
47;1000;10000;0m0.203s
47;1000000;10000;0m0.387s
47;10000000;10000;0m0.620s
47;100000;10000;0m0.304s
47;10000;10000;0m0.312s
47;100000000;10000;0m1.613s
47;1000000000;10000;0m7.019s
47;1000000000;10000;0m7.012s
47;10000;10000;0m0.285s
47;100000;10000;0m0.417s
47;1000000;10000;0m0.303s
47;10000000;10000;0m0.624s
47;100000000;10000;0m1.398s
47;1000000000;10000;0m6.911s
7;1000;100000;0m0.209s
7;1000;100000;0m0.219s
7;1000;100000;0m0.217s
7;10000;100000;0m0.206s
7;100000;100000;0m0.300s
7;10000;100000;0m0.219s
7;10000;100000;0m0.219s
7;100000;100000;0m0.299s
7;100000;100000;0m0.315s
7;1000000;100000;0m0.398s
7;1000000;100000;0m0.389s
7;1000000;100000;0m0.400s
7;10000000;100000;0m0.609s
7;10000000;100000;0m0.627s
7;10000000;100000;0m0.620s
7;100000000;100000;0m2.712s
7;100000000;100000;0m2.701s
7;100000000;100000;0m2.705s
7;1000000000;100000;0m23.303s
7;1000000000;100000;0m23.320s
7;1000000000;100000;0m23.314s
15;1000;100000;0m0.224s
15;1000;100000;0m0.209s
15;1000;100000;0m0.200s
15;10000;100000;0m0.182s
15;10000;100000;0m0.213s
15;10000;100000;0m0.221s
15;100000;100000;0m0.304s
15;100000;100000;0m0.304s
15;100000;100000;0m0.311s
15;1000000;100000;0m0.384s
15;1000000;100000;0m0.400s
15;1000000;100000;0m0.401s
15;10000000;100000;0m0.526s
15;10000000;100000;0m0.582s
15;10000000;100000;0m0.507s
15;100000000;100000;0m1.503s
15;100000000;100000;0m1.501s
15;100000000;100000;0m1.502s
15;1000000000;100000;0m11.506s
15;1000000000;100000;0m10.833s
15;1000000000;100000;0m11.510s
23;1000;100000;0m0.221s
23;1000;100000;0m0.207s
23;10000;100000;0m0.215s
23;10000;100000;0m0.202s
23;10000;100000;0m0.202s
23;1000;100000;0m0.223s
23;100000;100000;0m0.428s
23;100000;100000;0m0.434s
23;100000;100000;0m0.413s
23;1000000;100000;0m0.509s
23;1000000;100000;0m0.403s
23;10000000;100000;0m0.404s
23;10000000;100000;0m0.404s
23;1000000;100000;0m0.335s
23;10000000;100000;0m0.621s
23;100000000;100000;0m1.515s
23;100000000;100000;0m1.620s
23;100000000;100000;0m1.612s
23;1000000000;100000;0m7.708s
23;1000000000;100000;0m7.714s
23;1000000000;100000;0m7.708s
31;1000;100000;0m0.207s
31;1000;100000;0m0.185s
31;1000;100000;0m0.342s
31;10000;100000;0m0.185s
31;10000;100000;0m0.208s
31;10000;100000;0m0.318s
31;100000;100000;0m0.281s
31;100000;100000;0m0.309s
31;100000;100000;0m0.428s
31;1000000;100000;0m0.285s
31;1000000;100000;0m0.303s
31;1000000;100000;0m0.520s
31;10000000;100000;0m0.593s
